players,rating,pts,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
"GM
Volodar Murzin",2554,9,1b,0w,1b,1w,1b,½w,½b,1w,1b,1w,1w
"IM
Aleksey Grebnev",2460,9,1w,1b,0w,1b,1w,½b,1w,1b,½w,1b,1w
"FM
Maksim Tsaruk",2371,8.5,1b,1w,0w,1b,½b,1w,0b,1w,1b,1w,1w
"FM
Aleks Sahakyan",2277,8.5,1b,1w,1b,0b,½w,1w,1b,1w,½b,½b,1w
"FM
Saad Abobaker Elmi",2171,7,1b,1b,½w,1w,0b,½w,1b,1w,½b,½w,0b
"FM
Artsiom Siniauski",2115,6.5,1w,0b,1w,0w,1b,1w,1b,0b,½w,0w,1b
"FM
Tymon Ochedzan",2140,6,½w,½b,1w,1b,0w,0b,0b,½w,1b,½b,1w
Atahan Hommodov,2244,6,1b,1w,½b,0w,1b,1w,½w,0b,0w,1b,0b
"CM
Mikayel Rostomyan",2222,5.5,1w,½b,½w,1b,0b,1w,0w,0b,1w,0b,½w
Armen Galajyan,1850,5.5,1b,½w,0b,1w,1w,0b,0w,1b,½w,½b,0w
Nurdaulet Tanatov,1642,5.5,½b,½w,0b,1w,1w,½b,1b,0w,½b,0w,½b
Frankie Badacsonyi,1955,5.5,0w,1b,1w,0w,0b,1b,½w,1w,½b,0b,½w
"CM
Stefan-Emilian Prisacaru",2120,5.5,,1w,1b,0w,0b,0w,1w,1b,1b,½w,0b
Abzal Amirali,1871,5,0w,,½b,1w,1w,0b,0w,1b,½w,1w,0b
"FM
Akaki Qalichava",2058,5,,0w,1b,0w,1w,0b,1b,1w,0w,0b,1w
Karen Tovmasyan,1832,4.5,1b,½w,1w,1b,0w,0b,0w,0b,1w,0b,
Luka Sakovich,1834,4.5,0w,1w,0b,1b,0w,1b,0w,,0b,1w,½b
"FM
Jakub Chyzy",2293,4.5,0w,½b,1w,0b,0w,1b,1w,0b,0w,,1b
Emils Janis Mierins,2246,4,0w,0b,,0b,1w,1b,½b,0w,1b,½w,0b
"Vayanos,George Marwan",1758,3,0b,0w,0b,,,1b,1w,0b,0w,0b,1w
Zurab Gongliashvili,1737,3,0w,½b,1w,0b,1b,0w,,0w,,½w,0b
"CM
Michal Jacobus Oosthuizen",1919,3,0b,½w,0b,,1b,0w,,½b,0w,0b,1b
Tornike Kupatadze,1514,1.5,0b,,,,,0w,,0w,1w,½b,
Dimash Karibaev,1569,1,,0b,0w,,0b,,,0b,,1w,0b
Ben Delport,1237,1,,0b,0w,0b,0w,,,,,1w,0w
Akaki Dvalishvili,1367,1,,,0b,0w,,,0b,1w,0b,,0w
Nikoloz Datiashvili,1801,0,0w,0b,,,0b,0w,0b,,0b,,
